Code;Location;Registered;Envelopes;Valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
552356;Babice;370;256;254;79;1;0;0;0;25;9;0;13;0;5;0;0;2;0;18;1;2;1;66;5;17;10;0;0
500526;Bělkovice-Lašťany;1801;1079;1069;333;1;0;1;1;81;75;1;97;6;6;1;0;8;2;44;7;15;18;153;32;104;83;0;0
500623;Bílá Lhota;931;568;565;164;0;0;0;1;73;62;5;31;0;6;0;2;3;0;20;0;6;4;81;12;53;42;0;0
552062;Bílsko;172;119;119;27;1;1;0;0;3;25;0;8;0;1;0;0;1;0;7;0;0;1;20;1;12;11;0;0
500801;Blatec;497;320;319;110;0;0;0;0;26;26;0;21;1;1;0;0;0;1;19;1;3;7;43;7;25;28;0;0
500852;Bohuňovice;2030;1352;1340;445;8;2;3;3;98;103;1;135;7;15;6;0;5;4;49;5;28;24;152;43;139;59;2;4
500861;Bouzov;1261;778;771;213;0;1;0;2;100;85;1;53;8;6;2;0;2;1;18;0;4;14;88;27;78;65;0;3
552402;Bukovany;528;369;369;93;0;0;0;0;21;56;0;44;0;0;1;0;5;0;17;4;3;10;35;13;47;19;0;1
500879;Bystročice;620;384;384;130;2;0;1;4;31;19;0;63;2;0;0;0;1;0;15;1;1;3;32;7;32;40;0;0
547026;Bystrovany;804;555;553;164;3;0;2;1;25;52;0;71;2;1;2;0;1;1;25;1;11;4;62;30;62;33;0;0
